Month,Channel,Visitors
2024-01-01,Organic Search,2293
2024-01-01,Paid Search,3546
2024-01-01,Social Media,4082
2024-01-01,Email Marketing,1338
2024-01-01,Referral,594
2024-01-01,Direct,1080
2024-02-01,Organic Search,2560
2024-02-01,Paid Search,3372
2024-02-01,Social Media,4347
2024-02-01,Email Marketing,1479
2024-02-01,Referral,618
2024-02-01,Direct,1175
2024-03-01,Organic Search,2612
2024-03-01,Paid Search,3661
2024-03-01,Social Media,4929
2024-03-01,Email Marketing,1647
2024-03-01,Referral,612
2024-03-01,Direct,1413
2024-04-01,Organic Search,2642
2024-04-01,Paid Search,4104
2024-04-01,Social Media,4731
2024-04-01,Email Marketing,1553
2024-04-01,Referral,655
2024-04-01,Direct,1322
2024-05-01,Organic Search,2651
2024-05-01,Paid Search,4135
2024-05-01,Social Media,5200
2024-05-01,Email Marketing,1644
2024-05-01,Referral,614
2024-05-01,Direct,1220
2024-06-01,Organic Search,2348
2024-06-01,Paid Search,3678
2024-06-01,Social Media,4259
2024-06-01,Email Marketing,1386
2024-06-01,Referral,557
2024-06-01,Direct,1247
2024-07-01,Organic Search,2103
2024-07-01,Paid Search,3448
2024-07-01,Social Media,4400
2024-07-01,Email Marketing,1373
2024-07-01,Referral,604
2024-07-01,Direct,1111
2024-08-01,Organic Search,2472
2024-08-01,Paid Search,3863
2024-08-01,Social Media,4999
2024-08-01,Email Marketing,1473
2024-08-01,Referral,664
2024-08-01,Direct,1330
2024-09-01,Organic Search,3098
2024-09-01,Paid Search,4169
2024-09-01,Social Media,5272
2024-09-01,Email Marketing,1843
2024-09-01,Referral,822
2024-09-01,Direct,1521
2024-10-01,Organic Search,3281
2024-10-01,Paid Search,4844
2024-10-01,Social Media,6768
2024-10-01,Email Marketing,2156
2024-10-01,Referral,899
2024-10-01,Direct,1822
2024-11-01,Organic Search,3967
2024-11-01,Paid Search,5366
2024-11-01,Social Media,6677
2024-11-01,Email Marketing,2445
2024-11-01,Referral,870
2024-11-01,Direct,1865
2024-12-01,Organic Search,3169
2024-12-01,Paid Search,5281
2024-12-01,Social Media,6249
2024-12-01,Email Marketing,2031
2024-12-01,Referral,906
2024-12-01,Direct,1686
