Lead ID,Signup Date,Channel,Campaign,Device,Region,Funnel Stage Reached,Days to Convert,Plan,Deal Value
LD4232,2024-07-02,Social Media,Instagram Ads,Desktop,Asia Pacific,Lead,,,
LD2609,2024-04-09,Paid Search,Google Ads - Brand,Desktop,North America,Lead,,,
LD6547,2024-11-24,Paid Search,Google Ads - Brand,Mobile,Europe,MQL,,,
LD1436,2024-01-20,Direct,Direct / Type-in,Mobile,Europe,MQL,,,
LD3184,2024-05-18,Paid Search,Google Ads - Brand,Mobile,Latin America,SQL,,,
LD6076,2024-10-12,Email Marketing,Monthly Newsletter,Mobile,Europe,MQL,,,
LD4768,2024-08-05,Email Marketing,Promo Blast,Desktop,Europe,SQL,,,
LD7669,2024-12-07,Referral,Affiliate Program,Mobile,Asia Pacific,MQL,,,
LD3284,2024-05-27,Social Media,Instagram Ads,Desktop,North America,MQL,,,
LD3551,2024-05-27,Direct,Direct / Type-in,Mobile,Asia Pacific,Lead,,,
LD7031,2024-11-22,Direct,Direct / Type-in,Mobile,Asia Pacific,Lead,,,
LD6706,2024-11-06,Email Marketing,Promo Blast,Desktop,Asia Pacific,Customer,59.0,Basic,1348.23
LD2913,2024-04-16,Referral,Affiliate Program,Desktop,North America,MQL,,,
LD7137,2024-12-01,Organic Search,Blog SEO,Tablet,North America,SQL,,,
LD6975,2024-11-09,Referral,Partner Program,Mobile,North America,MQL,,,
LD4427,2024-07-24,Referral,Affiliate Program,Desktop,Asia Pacific,Customer,65.0,Basic,789.38
LD2050,2024-03-13,Paid Search,Google Ads - Generic,Desktop,North America,Lead,,,
LD5148,2024-09-22,Paid Search,Google Ads - Generic,Tablet,North America,MQL,,,
LD1536,2024-02-01,Organic Search,Landing Page SEO,Desktop,Asia Pacific,SQL,,,
LD5772,2024-10-13,Paid Search,Google Ads - Brand,Desktop,Latin America,MQL,,,
LD4908,2024-08-23,Referral,Affiliate Program,Desktop,Europe,Customer,66.0,Basic,685.74
LD7727,2024-12-20,Direct,Direct / Type-in,Mobile,Asia Pacific,Lead,,,
LD7437,2024-12-16,Email Marketing,Monthly Newsletter,Mobile,Europe,MQL,,,
LD6782,2024-11-19,Email Marketing,Promo Blast,Mobile,North America,MQL,,,
LD7253,2024-12-09,Paid Search,Google Ads - Generic,Desktop,Europe,Lead,,,
LD3448,2024-05-28,Referral,Affiliate Program,Desktop,North America,Lead,,,
LD1394,2024-01-28,Referral,Partner Program,Mobile,Asia Pacific,Lead,,,
LD4129,2024-07-17,Paid Search,Google Ads - Generic,Mobile,North America,Lead,,,
LD4873,2024-08-10,Email Marketing,Monthly Newsletter,Desktop,North America,Lead,,,
LD5920,2024-10-24,Social Media,LinkedIn Ads,Mobile,North America,Lead,,,
LD4319,2024-07-06,Email Marketing,Monthly Newsletter,Mobile,Europe,Customer,34.0,Basic,1417.9
LD7730,2024-12-11,Direct,Direct / Type-in,Desktop,North America,Lead,,,
LD6775,2024-11-24,Email Marketing,Promo Blast,Mobile,Latin America,SQL,,,
LD2373,2024-03-07,Referral,Partner Program,Mobile,Asia Pacific,Customer,72.0,Basic,1018.89
LD5465,2024-09-25,Referral,Affiliate Program,Mobile,Asia Pacific,MQL,,,
LD4046,2024-07-13,Organic Search,Landing Page SEO,Desktop,North America,Lead,,,
LD5152,2024-09-19,Paid Search,Google Ads - Generic,Desktop,Asia Pacific,MQL,,,
LD2861,2024-04-15,Email Marketing,Monthly Newsletter,Desktop,North America,Lead,,,
LD1102,2024-01-20,Paid Search,Google Ads - Brand,Mobile,Europe,MQL,,,
LD5289,2024-09-05,Social Media,Facebook Ads,Desktop,Asia Pacific,Lead,,,
LD3182,2024-05-07,Paid Search,Google Ads - Brand,Mobile,North America,MQL,,,
LD2534,2024-04-13,Organic Search,Blog SEO,Desktop,Europe,Lead,,,
LD6352,2024-11-13,Organic Search,Landing Page SEO,Mobile,Latin America,MQL,,,
LD7041,2024-11-08,Direct,Direct / Type-in,Desktop,Europe,Lead,,,
LD1562,2024-02-14,Organic Search,Blog SEO,Tablet,Europe,Lead,,,
LD3226,2024-05-05,Social Media,Instagram Ads,Desktop,Latin America,Lead,,,
LD7490,2024-12-04,Email Marketing,Promo Blast,Mobile,North America,Customer,56.0,Pro,3409.91
LD5393,2024-09-05,Email Marketing,Promo Blast,Mobile,Asia Pacific,Lead,,,
LD1218,2024-01-21,Social Media,LinkedIn Ads,Desktop,Asia Pacific,Lead,,,
LD4300,2024-07-23,Email Marketing,Promo Blast,Desktop,North America,MQL,,,
LD1829,2024-02-03,Referral,Partner Program,Tablet,North America,MQL,,,
LD3667,2024-06-15,Paid Search,Google Ads - Brand,Mobile,North America,Lead,,,
LD3677,2024-06-01,Paid Search,Google Ads - Brand,Mobile,Asia Pacific,Lead,,,
LD5980,2024-10-08,Email Marketing,Promo Blast,Mobile,North America,MQL,,,
LD2116,2024-03-06,Paid Search,Google Ads - Brand,Tablet,North America,MQL,,,
LD4482,2024-07-19,Direct,Direct / Type-in,Desktop,North America,Lead,,,
LD4396,2024-07-13,Referral,Partner Program,Desktop,North America,Lead,,,
LD7170,2024-12-18,Organic Search,Landing Page SEO,Desktop,Europe,Customer,39.0,Basic,1123.24
LD6764,2024-11-02,Email Marketing,Monthly Newsletter,Desktop,Europe,Lead,,,
LD7749,2024-12-02,Direct,Direct / Type-in,Desktop,North America,MQL,,,
LD4289,2024-07-16,Email Marketing,Monthly Newsletter,Tablet,Europe,MQL,,,
LD1051,2024-01-09,Organic Search,Blog SEO,Mobile,Europe,Customer,50.0,Basic,1134.24
LD4766,2024-08-26,Email Marketing,Monthly Newsletter,Desktop,North America,Lead,,,
LD2023,2024-03-20,Organic Search,Landing Page SEO,Mobile,North America,Customer,18.0,Pro,3578.06
LD2198,2024-03-21,Social Media,LinkedIn Ads,Mobile,Asia Pacific,Lead,,,
LD7423,2024-12-25,Social Media,Facebook Ads,Desktop,Europe,Lead,,,
LD2413,2024-03-06,Direct,Direct / Type-in,Mobile,North America,MQL,,,
LD3578,2024-06-28,Organic Search,Blog SEO,Mobile,Europe,Lead,,,
LD3120,2024-05-15,Paid Search,Google Ads - Generic,Desktop,North America,Lead,,,
LD7126,2024-12-24,Organic Search,Landing Page SEO,Desktop,Europe,MQL,,,
LD3884,2024-06-24,Email Marketing,Monthly Newsletter,Desktop,Europe,Lead,,,
LD2176,2024-03-24,Social Media,LinkedIn Ads,Desktop,North America,SQL,,,
LD7300,2024-12-10,Paid Search,Google Ads - Generic,Desktop,Asia Pacific,Lead,,,
LD5625,2024-10-05,Organic Search,Landing Page SEO,Desktop,North America,Lead,,,
LD6929,2024-11-25,Referral,Affiliate Program,Mobile,North America,Lead,,,
LD2085,2024-03-28,Paid Search,Google Ads - Brand,Desktop,Asia Pacific,Lead,,,
LD5272,2024-09-02,Social Media,Instagram Ads,Desktop,North America,MQL,,,
LD6665,2024-11-19,Social Media,Instagram Ads,Mobile,Asia Pacific,Lead,,,
LD1834,2024-02-25,Referral,Affiliate Program,Mobile,Europe,SQL,,,
LD7544,2024-12-23,Email Marketing,Monthly Newsletter,Desktop,North America,Lead,,,
LD7251,2024-12-28,Paid Search,Google Ads - Generic,Mobile,Asia Pacific,Lead,,,
LD7755,2024-12-26,Direct,Direct / Type-in,Desktop,Asia Pacific,SQL,,,
LD2324,2024-03-25,Referral,Affiliate Program,Desktop,Europe,SQL,,,
LD3304,2024-05-16,Email Marketing,Promo Blast,Desktop,Europe,MQL,,,
LD1593,2024-02-18,Paid Search,Google Ads - Brand,Desktop,Europe,Lead,,,
LD6821,2024-11-13,Email Marketing,Monthly Newsletter,Mobile,Asia Pacific,Lead,,,
LD2560,2024-04-05,Organic Search,Landing Page SEO,Mobile,Asia Pacific,MQL,,,
LD1231,2024-01-03,Social Media,Instagram Ads,Mobile,North America,MQL,,,
LD2742,2024-04-03,Email Marketing,Promo Blast,Desktop,Asia Pacific,Lead,,,
LD3654,2024-06-08,Paid Search,Google Ads - Generic,Desktop,Europe,Lead,,,
LD2434,2024-03-11,Direct,Direct / Type-in,Desktop,North America,Lead,,,
LD3901,2024-06-02,Email Marketing,Monthly Newsletter,Mobile,North America,SQL,,,
LD4919,2024-08-02,Referral,Affiliate Program,Desktop,Europe,SQL,,,
LD1469,2024-01-28,Direct,Direct / Type-in,Mobile,Europe,MQL,,,
LD4297,2024-07-15,Email Marketing,Promo Blast,Mobile,Asia Pacific,MQL,,,
